company,line,station,norm_company,norm_line,norm_station
JR,ＪＲ根室本線,音別,jr,根室本線,音別
JR,ＪＲ根室本線,白糠,jr,根室本線,白糠
JR,ＪＲ根室本線,西庶路,jr,根室本線,西庶路
JR,ＪＲ根室本線,庶路,jr,根室本線,庶路
JR,ＪＲ根室本線,大楽毛,jr,根室本線,大楽毛
JR,ＪＲ根室本線,新大楽毛,jr,根室本線,新大楽毛
JR,ＪＲ根室本線,新富士,jr,根室本線,新富士
JR,ＪＲ根室本線,釧路,jr,根室本線,釧路
JR,ＪＲ根室本線,東釧路,jr,根室本線,東釧路
JR,ＪＲ根室本線,武佐,jr,根室本線,武佐
JR,ＪＲ根室本線,別保,jr,根室本線,別保
JR,ＪＲ根室本線,門静,jr,根室本線,門静
JR,ＪＲ根室本線,厚岸,jr,根室本線,厚岸
JR,ＪＲ根室本線,厚床,jr,根室本線,厚床
JR,ＪＲ根室本線,根室,jr,根室本線,根室
JR,ＪＲ函館本線,函館,jr,函館本線,函館
JR,ＪＲ函館本線,五稜郭,jr,函館本線,五稜郭
JR,ＪＲ函館本線,桔梗,jr,函館本線,桔梗
JR,ＪＲ函館本線,大中山,jr,函館本線,大中山
JR,ＪＲ函館本線,七飯,jr,函館本線,七飯
JR,ＪＲ函館本線,新函館北斗,jr,函館本線,新函館北斗
JR,ＪＲ函館本線,仁山,jr,函館本線,仁山
JR,ＪＲ函館本線,大沼,jr,函館本線,大沼
JR,ＪＲ函館本線,大沼公園,jr,函館本線,大沼公園
JR,ＪＲ函館本線,赤井川,jr,函館本線,赤井川
JR,ＪＲ函館本線,駒ヶ岳,jr,函館本線,駒ヶ岳
JR,ＪＲ函館本線,渡島砂原,jr,函館本線,渡島砂原
JR,ＪＲ函館本線,掛澗,jr,函館本線,掛澗
JR,ＪＲ函館本線,尾白内,jr,函館本線,尾白内
JR,ＪＲ函館本線,東森,jr,函館本線,東森
JR,ＪＲ函館本線,森,jr,函館本線,森
JR,ＪＲ函館本線,石倉,jr,函館本線,石倉
JR,ＪＲ函館本線,落部,jr,函館本線,落部
JR,ＪＲ函館本線,野田生,jr,函館本線,野田生
JR,ＪＲ函館本線,山越,jr,函館本線,山越
JR,ＪＲ函館本線,八雲,jr,函館本線,八雲
JR,ＪＲ函館本線,山崎,jr,函館本線,山崎
JR,ＪＲ函館本線,長万部,jr,函館本線,長万部
JR,ＪＲ函館本線,目名,jr,函館本線,目名
JR,ＪＲ函館本線,蘭越,jr,函館本線,蘭越
JR,ＪＲ函館本線,昆布,jr,函館本線,昆布
JR,ＪＲ函館本線,ニセコ,jr,函館本線,ニセコ
JR,ＪＲ函館本線,比羅夫,jr,函館本線,比羅夫
JR,ＪＲ函館本線,倶知安,jr,函館本線,倶知安
JR,ＪＲ函館本線,小沢,jr,函館本線,小沢
JR,ＪＲ函館本線,銀山,jr,函館本線,銀山
JR,ＪＲ函館本線,仁木,jr,函館本線,仁木
JR,ＪＲ函館本線,余市,jr,函館本線,余市
JR,ＪＲ函館本線,蘭島,jr,函館本線,蘭島
JR,ＪＲ函館本線,塩谷,jr,函館本線,塩谷
JR,ＪＲ函館本線,小樽,jr,函館本線,小樽
JR,ＪＲ函館本線,南小樽,jr,函館本線,南小樽
JR,ＪＲ函館本線,小樽築港,jr,函館本線,小樽築港
JR,ＪＲ函館本線,朝里,jr,函館本線,朝里
JR,ＪＲ函館本線,銭函,jr,函館本線,銭函
JR,ＪＲ函館本線,ほしみ,jr,函館本線,ほしみ
JR,ＪＲ函館本線,星置,jr,函館本線,星置
JR,ＪＲ函館本線,稲穂,jr,函館本線,稲穂
JR,ＪＲ函館本線,手稲,jr,函館本線,手稲
JR,ＪＲ函館本線,稲積公園,jr,函館本線,稲積公園
JR,ＪＲ函館本線,発寒,jr,函館本線,発寒
JR,ＪＲ函館本線,発寒中央,jr,函館本線,発寒中央
JR,ＪＲ函館本線,琴似,jr,函館本線,琴似
JR,ＪＲ函館本線,桑園,jr,函館本線,桑園
JR,ＪＲ函館本線,札幌,jr,函館本線,札幌
JR,ＪＲ函館本線,苗穂,jr,函館本線,苗穂
JR,ＪＲ函館本線,白石,jr,函館本線,白石
JR,ＪＲ函館本線,厚別,jr,函館本線,厚別
JR,ＪＲ函館本線,森林公園,jr,函館本線,森林公園
JR,ＪＲ函館本線,大麻,jr,函館本線,大麻
JR,ＪＲ函館本線,野幌,jr,函館本線,野幌
JR,ＪＲ函館本線,高砂,jr,函館本線,高砂
JR,ＪＲ函館本線,江別,jr,函館本線,江別
JR,ＪＲ函館本線,豊幌,jr,函館本線,豊幌
JR,ＪＲ函館本線,幌向,jr,函館本線,幌向
